事件序号,事件起始编号,事件终止编号,事件开始时间,事件结束时间,洗浴时间点,总用水时长,总停顿时长,停顿次数,平均停顿时长,用水时长,用水/总时长,总用水量,平均水流量,水流量波动,停顿时长波动
139,15489,15687,2014-11-06 21:35:27.500,2014-11-06 21:52:40.500,21,1034.0,289.0,2.0,144.5,745.0,0.7205029013539652,288.11666666666645,0.3867337807606261,0.00594491842729941,4692.25
143,16062,16163,2014-11-07 20:44:22.500,2014-11-07 20:54:53.500,20,632.0,1.0,1.0,1.0,631.0,0.9984177215189873,235.11666666666682,0.37260961436872714,0.0366897404528802,0.0
145,16187,16236,2014-11-07 21:08:02.500,2014-11-07 21:18:07.500,21,606.0,138.0,7.0,19.714285714285715,468.0,0.7722772277227723,303.0499999999999,0.6475427350427349,1.045333971737593,8762.348713398404
146,16238,16365,2014-11-07 21:47:02.500,2014-11-07 21:59:00.500,21,719.0,207.0,3.0,69.0,512.0,0.7121001390820584,252.38333333333327,0.49293619791666654,0.02050932585365242,761.7971014492754
149,16566,16582,2014-11-08 08:46:21.500,2014-11-08 08:49:16.500,8,176.0,2.0,2.0,1.0,174.0,0.9886363636363636,69.63333333333333,0.40019157088122603,0.7348588857352713,0.0
154,16789,16901,2014-11-08 22:05:49.500,2014-11-08 22:14:02.500,22,494.0,0.0,0.0,0.0,494.0,1.0,289.3666666666667,0.5857624831309042,0.00882801669483703,0.0
155,16952,17048,2014-11-08 22:36:26.500,2014-11-08 22:50:04.500,22,819.0,389.0,2.0,194.5,430.0,0.525030525030525,213.86666666666682,0.49736434108527167,0.027762512790627823,420.25
164,17998,18142,2014-11-10 15:49:11.500,2014-11-10 16:01:13.500,15,723.0,0.0,0.0,0.0,723.0,1.0,327.21666666666675,0.4525818349469803,0.012220714641927734,0.0
165,18199,18325,2014-11-10 16:25:26.500,2014-11-10 16:36:11.500,16,646.0,68.0,1.0,68.0,578.0,0.8947368421052632,301.3666666666667,0.5213956170703575,0.014992945224148752,0.0
167,18406,18453,2014-11-10 18:52:18.500,2014-11-10 19:03:16.500,18,659.0,300.0,5.0,60.0,359.0,0.5447647951441578,154.86666666666665,0.4313834726090993,0.19382784783645546,12515.12
169,18535,18745,2014-11-10 21:38:28.500,2014-11-10 22:00:46.500,21,1339.0,434.0,3.0,144.66666666666666,905.0,0.6758775205377147,409.51666666666637,0.45250460405156506,0.014273358715742292,7683.071172555044
